Date,Open,High,Low,Close,Adj Close,Volume
2017-11-02,496868.437500,516443.437500,491854.781250,492976.875000,492976.875000,224043193
2017-11-03,468637.250000,481558.875000,458150.593750,470035.125000,470035.125000,111468831
2017-11-04,492478.093750,528105.500000,488596.125000,493862.156250,493862.156250,43336404
2017-11-05,501287.156250,545032.625000,494626.468750,526766.500000,526766.500000,35730571
2017-11-06,494713.437500,510273.781250,462943.906250,476246.218750,476246.218750,46862627
2017-11-07,494922.531250,509826.750000,477897.750000,479067.500000,479067.500000,90385663
2017-11-08,474943.156250,516029.750000,474943.156250,516029.750000,516029.750000,84768205
2017-11-09,475464.718750,489495.062500,460989.218750,488158.843750,488158.843750,209449436
2017-11-10,484432.437500,486495.031250,458799.750000,459683.750000,459683.750000,106517920
2017-11-11,420083.843750,458403.625000,414627.156250,429835.406250,429835.406250,167304836
2017-11-12,408961.343750,426663.156250,408961.343750,426663.156250,426663.156250,131582921
2017-11-13,459631.187500,478742.000000,453926.406250,473572.000000,473572.000000,299297504
2017-11-14,450214.000000,478623.500000,446478.593750,474773.875000,474773.875000,295133674
2017-11-15,529834.125000,537525.187500,506361.375000,525792.125000,525792.125000,74588867
2017-11-16,554048.312500,565653.437500,531079.250000,535050.250000,535050.250000,144501018
2017-11-17,522225.218750,552073.062500,515795.843750,516051.125000,516051.125000,59345881
2017-11-18,498041.593750,527520.000000,498041.593750,527520.000000,527520.000000,27431040
2017-11-19,534585.000000,552177.500000,532315.000000,544800.000000,544800.000000,113863200
2017-11-20,537120.000000,575166.000000,537120.000000,575166.000000,575166.000000,305988312
2017-11-21,577222.000000,578120.375000,531201.437500,570484.000000,570484.000000,378801376
2017-11-22,548386.000000,561318.437500,548386.000000,559936.625000,559936.625000,143903719
2017-11-23,510141.437500,551743.500000,510141.437500,547809.500000,547809.500000,505628168
2017-11-24,484311.500000,565427.000000,469373.500000,561698.375000,561698.375000,782928917
2017-11-25,611259.062500,691960.750000,599784.812500,691960.750000,691960.750000,331532248
2017-11-26,723779.250000,729193.000000,638782.625000,657046.375000,657046.375000,198230898
2017-11-27,680951.062500,726131.312500,665058.687500,701901.625000,701901.625000,386179257
2017-11-28,728252.875000,776716.625000,711958.125000,752322.062500,752322.062500,366425977
2017-11-29,814897.687500,930181.375000,747293.250000,747293.250000,747293.250000,949495819
2017-11-30,741475.812500,864821.937500,731848.437500,747883.750000,747883.750000,725178009
2017-12-01,770447.812500,920216.625000,770447.812500,864617.625000,864617.625000,228838340
2017-12-02,879656.750000,1175155.250000,773589.937500,1175155.250000,1175155.250000,205840183
2017-12-03,1195340.125000,1195340.125000,858485.437500,870451.375000,870451.375000,132465286
2017-12-04,891603.187500,907868.875000,845602.125000,858010.500000,858010.500000,270427755
2017-12-05,887335.375000,958737.437500,848763.062500,874456.312500,874456.312500,250759100
2017-12-06,1114489.875000,1162791.500000,1038496.000000,1039150.937500,1039150.937500,382553016
2017-12-07,1277223.625000,1354860.500000,1137416.125000,1228819.625000,1228819.625000,591566053
2017-12-08,1096757.375000,1262965.500000,1024903.875000,1150750.250000,1150750.250000,336410316
2017-12-09,1018586.750000,1262528.000000,1018586.750000,1113989.875000,1113989.875000,289280881
2017-12-10,1214804.625000,1349418.125000,1087419.625000,1162437.875000,1162437.875000,152535095
2017-12-11,1087733.625000,1199198.875000,985355.750000,1146191.000000,1146191.000000,119845730
2017-12-12,932979.000000,1136246.625000,922381.625000,1136246.375000,1136246.375000,1207159452
2017-12-13,1006487.437500,1227143.250000,919570.062500,1212102.875000,1212102.875000,949718946
2017-12-14,1237991.375000,1388805.875000,1016253.437500,1138136.375000,1138136.375000,637766068
